iter	Passed	Remaining
608	1587	1019
609	1588	1015
610	1590	1012
611	1591	1009
612	1599	1009
613	1601	1006
614	1602	1003
615	1603	999
616	1605	996
617	1606	992
618	1607	989
619	1613	989
620	1615	985
621	1617	982
622	1618	979
623	1619	975
624	1620	972
625	1622	969
626	1627	968
627	1629	965
628	1631	962
629	1632	958
630	1633	955
631	1634	951
632	1636	948
633	1637	945
634	1643	944
635	1645	941
636	1646	938
637	1648	935
638	1649	931
639	1650	928
640	1652	925
641	1655	923
642	1659	921
643	1660	917
644	1661	914
645	1663	911
646	1664	908
647	1665	904
648	1667	901
649	1670	899
650	1673	897
651	1674	893
652	1676	891
653	1678	887
654	1679	884
655	1680	881
656	1682	878
657	1686	876
658	1688	873
659	1689	870
660	1691	867
661	1692	864
662	1693	860
663	1695	857
664	1696	854
665	1703	854
666	1704	851
667	1705	847
668	1707	844
669	1708	841
670	1710	838
671	1711	835
672	1718	834
673	1719	831
674	1721	828
675	1722	825
676	1724	822
677	1725	819
678	1726	816
679	1735	816
680	1736	813
681	1738	810
682	1740	807
683	1741	804
684	1742	801
685	1747	799
686	1749	796
687	1750	794
688	1752	791
689	1753	787
690	1755	784
691	1760	783
692	1761	780
693	1763	777
694	1765	774
695	1767	771
696	1768	768
697	1769	765
698	1773	763
699	1777	761
700	1778	758
701	1780	755
702	1781	752
703	1782	749
704	1784	746
705	1788	744
706	1790	742
707	1792	739
708	1793	736
709	1795	733
710	1797	730
711	1798	727
712	1803	725
713	1805	723
714	1809	721
715	1811	718
716	1812	715
717	1813	712
718	1819	710
719	1821	708
720	1823	705
721	1825	702
722	1826	699
723	1827	696
724	1828	693
725	1830	690
726	1833	688
727	1834	685
728	1836	682
729	1837	679
730	1838	676
731	1839	673
732	1844	671
733	1847	669
734	1849	666
735	1851	664
736	1852	661
737	1853	658
738	1855	655
739	1862	654
740	1864	651
741	1865	648
742	1866	645
743	1868	642
744	1869	639
745	1870	636
746	1879	636
747	1880	633
748	1882	630
749	1883	627
750	1885	625
751	1895	625
752	1896	622
753	1898	619
754	1899	616
755	1901	613
756	1908	612
757	1910	609
758	1911	606
759	1913	604
760	1914	601
761	1915	598
762	1917	595
763	1919	592
764	1921	590
765	1922	587
766	1924	584
767	1925	581
768	1931	580
769	1934	577
770	1936	575
771	1938	572
772	1940	569
773	1944	567
774	1946	565
775	1948	562
776	1949	559
777	1951	556
778	1952	553
779	1953	551
780	1958	549
781	1961	546
782	1962	543
783	1964	541
784	1965	538
785	1966	535
786	1967	532
787	1969	529
788	1974	528
789	1976	525
790	1977	522
791	1978	519
792	1980	516
793	1981	514
794	1982	511
795	1984	508
796	1990	506
797	1991	504
798	1993	501
799	1994	498
800	1995	495
801	1997	493
802	1998	490
803	2001	488
804	2004	485
805	2006	482
806	2007	480
807	2008	477
808	2009	474
809	2011	471
810	2012	469
811	2014	466
812	2018	464
813	2020	461
814	2021	458
815	2022	456
816	2024	453
817	2025	450
818	2026	447
819	2027	445
820	2029	442
821	2034	440
822	2035	437
823	2037	435
824	2038	432
825	2040	429
826	2041	427
827	2042	424
828	2044	421
829	2048	419
830	2049	416
831	2051	414
832	2052	411
833	2053	408
834	2055	406
835	2056	403
836	2057	400
837	2058	398
838	2062	395
839	2064	393
840	2065	390
841	2067	387
842	2068	385
843	2070	382
844	2071	379
845	2073	377
846	2076	375
847	2079	372
848	2080	370
849	2081	367
850	2083	364
851	2084	362
852	2086	359
853	2096	358
854	2098	355
855	2099	353
856	2103	350
857	2104	348
858	2107	345
859	2108	343
860	2110	340
861	2111	338
862	2113	335
863	2114	332
864	2115	330
865	2117	327
866	2121	325
867	2125	323
868	2127	320
869	2129	318
870	2131	315
871	2136	313
872	2138	311
873	2140	308
874	2142	306
875	2145	303
876	2146	301
877	2151	298
878	2154	296
879	2155	293
880	2156	291
881	2157	288
882	2159	286
883	2160	283
884	2162	280
885	2167	278
886	2169	276
887	2170	273
888	2172	271
889	2173	268
890	2175	266
891	2178	263
892	2180	261
893	2182	258
894	2184	256
895	2185	253
896	2187	251
897	2188	248
898	2194	246
899	2195	243
900	2196	241
901	2198	238
902	2199	236
903	2200	233
904	2202	231
905	2203	228
906	2207	226
907	2208	223
908	2210	221
909	2212	218
910	2213	216
911	2214	213
912	2216	211
913	2217	208
914	2218	206
915	2223	203
916	2225	201
917	2226	198
918	2228	196
919	2229	193
920	2230	191
